0.18,-0.3,0.95,5.15,-2.83,-3.09,1,65
0.17,-0.25,0.92,14.1,-1.5,-6.49,2,128
0.17,-0.29,0.92,5.22,-1.25,-4.93,3,181
0.18,-0.34,0.94,4.59,-1.73,-1.25,4,234
0.19,-0.25,0.96,15.08,-0.07,0.01,5,297
0.19,-0.22,0.91,3.94,-0.15,-0.17,6,350
0.19,-0.24,0.96,0.88,-1.27,0.06,7,413
0.17,-0.29,1.02,13.83,-2.28,-0.34,8,476
0.15,-0.26,1.08,62.66,-8.3,-4.86,9,539
0.16,-0.17,1.07,83.09,-12.83,-8.47,10,592
0.19,-0.14,0.99,117.31,-24.21,-12.19,11,656
0.27,0.0,0.87,186.06,-36.05,-9.57,12,720
0.3,0.21,0.77,218.86,-42.37,-6.91,13,774
0.37,0.56,0.67,235.0,-42.68,-7.64,14,837
0.35,0.82,0.54,175.83,-25.59,-10.99,15,891
0.35,0.78,0.23,90.5,-15.56,-6.07,16,955
0.44,0.81,0.24,47.89,-14.43,5.15,17,1019
0.4,0.94,0.29,4.53,-9.85,5.48,18,1083
0.37,0.87,0.33,2.17,-7.3,5.2,19,1146
0.37,0.97,0.32,1.75,-1.45,1.7,20,1209
0.38,0.91,0.26,0.28,-0.51,-1.16,21,1272
0.4,0.89,0.26,-10.11,-1.0,-1.5,22,1335
0.4,0.9,0.3,-45.9,2.2,-2.32,23,1399
0.39,0.9,0.33,-53.42,3.28,-1.55,24,1452
0.38,0.82,0.35,-87.52,5.19,-1.68,25,1515
0.39,0.95,0.44,-114.32,6.51,-2.83,26,1568
0.39,0.77,0.58,-167.97,11.34,-2.7,27,1622
0.35,0.43,0.66,-216.76,15.66,1.01,28,1686
0.32,0.14,0.74,-167.99,10.16,1.23,29,1750
0.33,-0.02,0.89,-104.13,6.76,4.68,30,1814
0.34,-0.03,0.96,-84.01,5.38,7.48,31,1878
0.34,-0.13,1.01,-69.06,6.76,8.15,32,1941
0.31,-0.18,0.97,-61.33,8.28,9.12,33,2005
0.33,-0.27,0.96,-56.84,12.1,10.38,34,2068
0.29,-0.33,0.95,-19.58,15.32,15.73,35,2132
0.24,-0.32,0.95,-5.53,11.0,13.46,36,2196
0.23,-0.32,0.94,0.73,4.1,5.7,37,2260
0.25,-0.3,0.93,10.0,1.43,3.09,38,2323
0.24,-0.29,0.94,2.76,2.32,3.64,39,2386
0.24,-0.27,0.94,0.43,1.61,4.66,40,2449
0.23,-0.28,0.94,-11.17,0.95,3.6,41,2512
0.23,-0.32,0.94,-8.79,-0.12,0.26,42,2576
0.22,-0.33,0.94,-4.46,-3.16,-3.23,43,2639
0.25,-0.36,0.93,9.29,-6.87,-2.47,44,2702
0.24,-0.36,0.93,53.11,-6.41,-0.18,45,2765
0.23,-0.22,1.02,68.66,2.45,6.21,46,2829
0.2,-0.14,0.93,8.91,6.88,1.81,47,2892
0.25,-0.11,0.91,9.74,-1.72,-3.17,48,2945
0.31,0.01,0.92,22.67,-2.37,-3.76,49,3008
0.26,-0.13,0.93,10.35,-0.68,-2.31,50,3071
0.22,-0.08,0.98,6.08,1.26,-3.76,51,3135
0.23,-0.2,0.95,1.1,-0.84,-2.99,52,3198
0.27,-0.06,1.03,4.71,-1.83,2.51,53,3261
0.25,-0.15,1.03,1.73,0.81,6.75,54,3324
